,FECHA,GAME_ID,EQUIPO_LOCAL_ID,EQUIPO_VISITANTE_ID,TEMPORADA,PTS_LOCAL,%TC_LOCAL,%TL_LOCAL,%3P_LOCAL,AST_LOCAL,REB_LOCAL,PTS_VISITANTE,%TC_VISITANTE,%TL_VISITANTE,%3P_VISITANTE,AST_VISITANTE,REB_VISITANTE,VICTORIA
0,2020-03-01,21900895,1610612766,1610612749,2019,85.0,0.354,0.9,0.22899999999999998,22.0,47.0,93.0,0.402,0.762,0.226,20.0,61.0,VISITANTE
1,2020-03-01,21900896,1610612750,1610612742,2019,91.0,0.364,0.4,0.31,19.0,57.0,111.0,0.46799999999999997,0.632,0.275,28.0,56.0,VISITANTE
2,2020-03-01,21900897,1610612746,1610612755,2019,136.0,0.5920000000000001,0.805,0.542,25.0,37.0,130.0,0.505,0.65,0.488,27.0,37.0,LOCAL
3,2020-03-01,21900898,1610612743,1610612761,2019,133.0,0.5660000000000001,0.7,0.5,38.0,41.0,118.0,0.461,0.897,0.263,24.0,36.0,LOCAL
4,2020-03-01,21900899,1610612758,1610612765,2019,106.0,0.40700000000000003,0.885,0.257,18.0,51.0,100.0,0.413,0.667,0.429,23.0,42.0,LOCAL
5,2020-03-01,21900900,1610612740,1610612747,2019,114.0,0.42100000000000004,0.818,0.21899999999999997,24.0,52.0,122.0,0.515,0.9,0.371,23.0,36.0,VISITANTE
6,2020-03-01,21900901,1610612744,1610612764,2019,110.0,0.47200000000000003,0.708,0.321,25.0,52.0,124.0,0.488,0.889,0.667,24.0,34.0,VISITANTE
7,2020-02-29,21900887,1610612752,1610612741,2019,125.0,0.5529999999999999,0.6970000000000001,0.4,29.0,50.0,115.0,0.461,0.696,0.486,26.0,33.0,LOCAL
8,2020-02-29,21900888,1610612737,1610612757,2019,129.0,0.5479999999999999,0.8640000000000001,0.429,34.0,36.0,117.0,0.5,0.7140000000000001,0.28600000000000003,14.0,42.0,LOCAL
9,2020-02-29,21900889,1610612748,1610612751,2019,116.0,0.451,0.833,0.368,27.0,45.0,113.0,0.465,0.7390000000000001,0.364,30.0,44.0,LOCAL
10,2020-02-29,21900890,1610612739,1610612754,2019,104.0,0.48200000000000004,0.85,0.22699999999999998,30.0,36.0,113.0,0.54,0.7859999999999999,0.348,30.0,38.0,VISITANTE
11,2020-02-29,21900891,1610612763,1610612747,2019,105.0,0.45299999999999996,0.818,0.32299999999999995,27.0,51.0,88.0,0.409,0.583,0.25,26.0,45.0,LOCAL
12,2020-02-29,21900892,1610612738,1610612745,2019,110.0,0.39,0.76,0.31,22.0,54.0,111.0,0.418,0.778,0.273,17.0,53.0,VISITANTE
13,2020-02-29,21900893,1610612759,1610612753,2019,114.0,0.524,0.75,0.452,28.0,31.0,113.0,0.488,0.696,0.405,28.0,41.0,LOCAL
14,2020-02-29,21900894,1610612756,1610612744,2019,99.0,0.41,0.826,0.414,24.0,40.0,115.0,0.47100000000000003,0.75,0.3,30.0,49.0,VISITANTE
15,2020-02-28,21900877,1610612753,1610612750,2019,136.0,0.541,0.818,0.3,36.0,54.0,125.0,0.484,0.667,0.386,27.0,33.0,LOCAL
16,2020-02-28,21900878,1610612737,1610612751,2019,141.0,0.515,0.733,0.48700000000000004,32.0,52.0,118.0,0.457,0.762,0.391,30.0,38.0,LOCAL
17,2020-02-28,21900879,1610612761,1610612766,2019,96.0,0.34700000000000003,0.69,0.233,19.0,45.0,99.0,0.436,0.72,0.433,23.0,58.0,VISITANTE
18,2020-02-28,21900880,1610612748,1610612742,2019,126.0,0.519,0.75,0.486,30.0,40.0,118.0,0.47600000000000003,0.895,0.42,25.0,35.0,LOCAL
19,2020-02-28,21900881,1610612763,1610612758,2019,101.0,0.429,0.75,0.267,27.0,52.0,104.0,0.418,0.81,0.289,24.0,47.0,VISITANTE
20,2020-02-28,21900882,1610612749,1610612760,2019,133.0,0.5,0.857,0.467,34.0,66.0,86.0,0.363,0.7,0.171,14.0,36.0,LOCAL
21,2020-02-28,21900883,1610612740,1610612739,2019,116.0,0.545,0.733,0.391,36.0,49.0,104.0,0.45299999999999996,0.583,0.355,27.0,34.0,LOCAL
22,2020-02-28,21900884,1610612756,1610612765,2019,111.0,0.6,0.706,0.391,31.0,38.0,113.0,0.489,0.75,0.406,27.0,31.0,VISITANTE
