,GAME_ID,VISITOR_TEAM_ID,HOME_TEAM_ID
0,11900002,4,5
1,11900003,4,5
2,11900005,5,4
3,11900006,5,5
4,11900007,5,2
5,11900010,5,5
6,11900013,5,5
7,11900014,4,5
8,11900015,5,5
9,11900016,1,4
10,11900017,4,5
11,11900019,5,5
12,11900021,4,4
13,11900022,5,4
14,11900023,5,5
15,11900024,3,5
16,11900026,5,5
17,11900027,5,5
18,11900028,5,4
19,11900029,5,5
20,11900030,5,4
21,11900031,5,5
22,11900034,4,5
23,11900035,5,5
24,11900036,5,5
25,11900037,4,5
26,11900038,4,4
27,11900039,5,5
28,11900040,5,5
29,11900041,5,4
30,11900042,5,5
31,11900043,5,4
32,11900044,5,5
33,11900045,4,5
34,11900046,4,5
35,11900048,5,5
36,11900049,5,5
37,11900050,4,5
38,11900051,5,5
39,11900053,5,5
40,11900054,5,5
41,11900055,4,4
42,11900056,5,4
43,11900057,5,5
44,11900058,5,5
45,11900059,5,4
46,11900060,5,4
47,11900061,5,5
48,11900062,5,5
49,11900063,5,4
50,11900064,5,4
51,11900065,5,4
52,11900066,5,5
53,11900068,5,5
54,11900069,5,5
55,11900070,3,4
56,11900071,5,5
57,11900072,5,5
58,11900073,4,5
59,11900074,4,4
60,11900075,5,5
61,11900076,4,5
62,11900077,5,4
63,11900078,5,5
64,11900079,5,5
65,21900001,4,5
66,21900002,5,4
67,21900003,3,5
68,21900004,4,3
69,21900005,4,5
70,21900006,5,4
71,21900007,3,3
72,21900008,5,5
73,21900009,2,3
74,21900010,4,5
75,21900011,3,4
76,21900012,5,4
77,21900013,5,4
78,21900014,3,4
79,21900015,5,4
80,21900016,4,4
81,21900017,5,5
82,21900018,5,3
83,21900019,4,4
84,21900020,3,3
85,21900021,3,4
86,21900022,2,3
87,21900023,4,5
88,21900024,4,4
89,21900025,3,5
90,21900026,2,5
91,21900027,4,3
92,21900028,5,3
93,21900029,5,4
94,21900030,2,4
95,21900031,5,3
96,21900032,3,4
97,21900033,2,5
98,21900034,4,4
99,21900035,4,3
100,21900036,3,3
101,21900037,4,3
102,21900038,4,3
103,21900039,2,5
104,21900040,4,5
105,21900041,2,3
106,21900042,3,4
107,21900043,5,3
108,21900044,5,5
109,21900045,3,4
110,21900046,4,5
111,21900047,3,4
112,21900048,4,5
113,21900049,4,4
114,21900050,5,4
115,21900051,4,4
116,21900052,2,3
117,21900053,4,5
118,21900054,3,5
119,21900055,3,4
120,21900056,3,5
121,21900057,5,5
122,21900058,5,4
123,21900059,3,4
124,21900060,3,5
125,21900061,4,2
126,21900062,4,2
127,21900063,3,4
128,21900064,4,4
129,21900065,4,3
130,21900066,4,2
131,21900067,4,4
132,21900068,5,4
133,21900069,4,4
134,21900070,4,2
135,21900071,5,5
136,21900072,3,4
137,21900073,3,3
138,21900074,5,4
139,21900075,4,4
140,21900076,5,2
141,21900077,4,2
142,21900078,4,3
143,21900079,4,5
144,21900080,5,2
145,21900081,4,3
146,21900082,5,5
147,21900083,4,2
148,21900084,5,4
149,21900085,3,2
150,21900086,4,5
151,21900087,4,3
152,21900088,5,5
153,21900089,4,4
154,21900090,4,4
155,21900091,3,3
156,21900092,4,4
157,21900093,4,3
158,21900094,5,5
159,21900095,5,4
160,21900096,4,2
161,21900097,2,4
162,21900098,4,4
163,21900099,5,2
164,21900100,5,3
165,21900101,5,3
166,21900102,4,5
167,21900103,3,3
168,21900104,3,1
169,21900105,3,2
170,21900106,4,5
171,21900107,1,3
172,21900108,4,3
173,21900109,4,4
174,21900110,5,4
175,21900111,5,3
176,21900112,5,4
177,21900113,3,5
178,21900114,4,4
179,21900115,4,4
180,21900116,3,2
181,21900117,3,4
182,21900118,4,3
183,21900119,4,2
184,21900120,1,4
185,21900121,5,4
186,21900122,3,4
187,21900123,4,5
188,21900124,5,4
189,21900125,3,4
190,21900126,3,5
191,21900127,5,5
192,21900128,3,4
193,21900129,4,3
194,21900130,3,3
195,21900131,1,3
196,21900132,5,5
197,21900133,2,5
198,21900134,4,4
199,21900135,5,2
200,21900136,4,3
201,21900137,4,4
202,21900138,3,4
203,21900139,3,5
204,21900140,5,4
205,21900141,4,4
206,21900142,4,3
207,21900143,3,5
208,21900144,4,2
209,21900145,3,4
210,21900146,3,1
211,21900147,4,4
212,21900148,4,2
213,21900149,3,3
214,21900150,3,5
215,21900151,5,4
216,21900152,4,4
217,21900153,4,4
218,21900154,3,4
219,21900155,4,5
220,21900156,3,4
221,21900157,5,3
222,21900158,5,5
223,21900159,2,4
224,21900160,3,4
225,21900161,3,4
226,21900162,4,3
227,21900163,3,4
228,21900164,4,3
229,21900165,4,4
230,21900166,4,5
231,21900167,4,4
232,21900168,5,5
233,21900169,1,2
234,21900170,5,3
235,21900171,4,4
236,21900172,5,3
237,21900173,4,2
238,21900174,3,4
239,21900175,4,3
240,21900176,4,1
241,21900177,5,3
242,21900178,3,3
243,21900179,2,4
244,21900180,3,4
245,21900181,4,5
246,21900182,5,3
247,21900183,5,4
248,21900184,4,4
249,21900185,4,5
250,21900186,5,3
251,21900187,2,2
252,21900188,5,4
253,21900189,3,3
254,21900190,1,3
255,21900191,5,3
256,21900192,4,3
257,21900193,4,3
258,21900194,5,4
259,21900195,4,4
260,21900196,4,5
261,21900197,3,4
262,21900198,2,3
263,21900199,4,2
264,21900200,4,3
265,21900201,3,4
266,21900202,3,4
267,21900203,5,3
268,21900204,4,5
269,21900205,5,3
270,21900206,2,3
271,21900207,5,3
272,21900208,2,4
273,21900209,4,3
274,21900210,5,5
275,21900211,3,5
276,21900212,4,5
277,21900213,2,4
278,21900214,4,4
279,21900215,5,4
280,21900216,5,4
281,21900217,3,3
282,21900218,5,4
283,21900219,3,3
284,21900220,4,3
285,21900221,4,4
286,21900222,4,5
287,21900223,2,5
288,21900224,3,5
289,21900225,4,4
290,21900226,3,5
291,21900227,3,2
292,21900228,3,5
293,21900229,5,3
294,21900230,3,5
295,21900231,3,4
296,21900232,4,3
297,21900233,2,4
298,21900234,3,5
299,21900235,4,3
300,21900236,3,3
301,21900237,3,3
302,21900238,4,5
303,21900239,3,5
304,21900240,2,4
305,21900241,3,4
306,21900242,3,3
307,21900243,5,5
308,21900244,3,3
309,21900245,5,3
310,21900246,5,3
311,21900247,4,3
312,21900248,4,3
313,21900249,4,5
314,21900250,3,2
315,21900251,5,4
316,21900252,3,5
317,21900253,2,4
